SUBJECT_ID,ORIGINAL_FILE,TRIPLET_SET,TEMPLATE_ID,SIGHTING_ID,DET_FACE_X,DET_FACE_Y,DET_FACE_WIDTH,DET_FACE_HEIGHT,QUALITY
64,img/4278.jpg,PROBE,31678,5429,873,391,271,345,99.275351
64,img/4069.jpg,REF,31663,2904,519,202,551,766,99.217892
64,img/1639.jpg,PROBE,31653,326,472,323,285,375,99.142963
64,img/34026.jpg,PROBE,31697,31532,837,337,381,472,98.718834
64,img/1476.jpg,PROBE,31674,4719,1768,527,189,249,98.318404
64,img/3632.jpg,PROBE,31687,5587,1363,1277,344,453,97.88922099999999
64,img/3299.jpg,PROBE,31695,11199,689,307,875,1093,97.807264
64,img/572.jpg,PROBE,31666,3543,1455,155,490,649,97.26876
64,img/1842.jpg,PROBE,31673,4244,1508,131,369,533,96.86929
64,img/37639.jpg,PROBE,31699,31921,400,283,412,541,96.65572
64,img/2077.jpg,PROBE,31668,3553,1606,151,374,456,96.53286899999999
64,img/3318.jpg,PROBE,31658,2680,1437,904,141,183,95.513588
64,img/3536.jpg,PROBE,31665,3033,1325,312,322,406,95.497024
64,img/4071.jpg,PROBE,31681,5517,929,432,207,283,94.974136
64,img/4729.jpg,PROBE,31671,3901,379,98,353,412,94.87803000000001
64,img/1762.jpg,REF,31696,11247,717,981,1102,1423,94.621223
64,img/420.jpg,PROBE,31676,5362,1246,582,227,295,94.55148
64,img/13.jpg,PROBE,31689,5697,390,384,308,377,90.22016500000001
64,img/273.jpg,PROBE,31686,5564,387,334,415,564,90.043962
64,img/4758.jpg,PROBE,31652,322,366,398,480,589,88.11613299999999
64,img/4885.jpg,PROBE,31651,320,1239,1045,345,430,84.65081500000001
64,img/2591.jpg,PROBE,31679,5445,1412,668,170,215,82.816303
