SUBJECT_ID,MASK_ID,ORIGINAL_BASENAME,OriginalFile,InpaintingFile,TRIPLET_SET
8,0,img/1066,aligned/8/img/1066/inpainted/00000_truth.png,aligned/8/img/1066/inpainted/00000_out_0.png,PROBE
8,0,img/1476,aligned/8/img/1476/inpainted/00000_truth.png,aligned/8/img/1476/inpainted/00000_out_0.png,PROBE
8,0,img/1613,aligned/8/img/1613/inpainted/00000_truth.png,aligned/8/img/1613/inpainted/00000_out_0.png,PROBE
8,0,img/240,aligned/8/img/240/inpainted/00000_truth.png,aligned/8/img/240/inpainted/00000_out_0.png,PROBE
8,0,img/3069,aligned/8/img/3069/inpainted/00000_truth.png,aligned/8/img/3069/inpainted/00000_out_0.png,PROBE
8,0,img/3916,aligned/8/img/3916/inpainted/00000_truth.png,aligned/8/img/3916/inpainted/00000_out_0.png,PROBE
8,0,img/78001,aligned/8/img/78001/inpainted/00000_truth.png,aligned/8/img/78001/inpainted/00000_out_0.png,PROBE
8,0,img/1017,aligned/8/img/1017/inpainted/00000_truth.png,aligned/8/img/1017/inpainted/00000_out_0.png,REF
8,0,img/3997,aligned/8/img/3997/inpainted/00000_truth.png,aligned/8/img/3997/inpainted/00000_out_0.png,REF
8,0,img/5034,aligned/8/img/5034/inpainted/00000_truth.png,aligned/8/img/5034/inpainted/00000_out_0.png,REF
8,1,img/1066,aligned/8/img/1066/inpainted/00000_truth.png,aligned/8/img/1066/inpainted/00001_out_0.png,PROBE
8,1,img/1406,aligned/8/img/1406/inpainted/00000_truth.png,aligned/8/img/1406/inpainted/00001_out_0.png,PROBE
8,1,img/1613,aligned/8/img/1613/inpainted/00000_truth.png,aligned/8/img/1613/inpainted/00001_out_0.png,PROBE
8,1,img/3069,aligned/8/img/3069/inpainted/00000_truth.png,aligned/8/img/3069/inpainted/00001_out_0.png,PROBE
8,1,img/1017,aligned/8/img/1017/inpainted/00000_truth.png,aligned/8/img/1017/inpainted/00001_out_0.png,REF
8,1,img/3997,aligned/8/img/3997/inpainted/00000_truth.png,aligned/8/img/3997/inpainted/00001_out_0.png,REF
8,1,img/5034,aligned/8/img/5034/inpainted/00000_truth.png,aligned/8/img/5034/inpainted/00001_out_0.png,REF
8,2,img/1066,aligned/8/img/1066/inpainted/00000_truth.png,aligned/8/img/1066/inpainted/00002_out_0.png,PROBE
8,2,img/1476,aligned/8/img/1476/inpainted/00000_truth.png,aligned/8/img/1476/inpainted/00002_out_0.png,PROBE
8,2,img/240,aligned/8/img/240/inpainted/00000_truth.png,aligned/8/img/240/inpainted/00002_out_0.png,PROBE
8,2,img/3069,aligned/8/img/3069/inpainted/00000_truth.png,aligned/8/img/3069/inpainted/00002_out_0.png,PROBE
8,2,img/3916,aligned/8/img/3916/inpainted/00000_truth.png,aligned/8/img/3916/inpainted/00002_out_0.png,PROBE
8,2,img/1017,aligned/8/img/1017/inpainted/00000_truth.png,aligned/8/img/1017/inpainted/00002_out_0.png,REF
8,2,img/3997,aligned/8/img/3997/inpainted/00000_truth.png,aligned/8/img/3997/inpainted/00002_out_0.png,REF
