SUBJECT_ID,ORIGINAL_FILE,TRIPLET_SET,TEMPLATE_ID,SIGHTING_ID,DET_FACE_X,DET_FACE_Y,DET_FACE_WIDTH,DET_FACE_HEIGHT,QUALITY
9950,img/101353.jpg,REF,66889,55314,282,62,279,376,99.986088
9950,img/100932.jpg,PROBE,66898,55685,320,99,148,205,99.985933
9950,img/101222.jpg,PROBE,66884,55163,193,23,146,176,99.972922
9950,img/108144.jpg,PROBE,66911,61595,153,23,211,254,99.957806
9950,img/101712.jpg,PROBE,66876,54337,93,32,146,211,99.95566600000001
9950,img/101415.jpg,REF,66883,55114,978,702,890,1216,99.944639
9950,img/102060.jpg,PROBE,66875,54332,220,25,156,208,99.94151600000001
9950,img/101829.jpg,PROBE,66887,55259,242,55,202,243,99.929357
9950,img/106787.jpg,PROBE,66909,60948,241,16,183,234,99.923956
9950,img/101117.jpg,PROBE,66878,54671,179,7,205,268,99.923265
9950,img/101359.jpg,PROBE,66895,55496,2076,206,627,788,99.920487
9950,img/100666.jpg,PROBE,66897,55562,190,25,263,297,99.90111
9950,img/102360.jpg,PROBE,66902,56055,144,105,136,175,99.883103
9950,img/101382.jpg,PROBE,66880,54755,46,33,110,137,99.83545500000001
9950,img/101874.jpg,PROBE,66903,56066,236,56,142,174,99.80889
9950,img/101779.jpg,PROBE,66896,55554,165,35,212,234,99.627411
