SUBJECT_ID,ORIGINAL_FILE,TRIPLET_SET,TEMPLATE_ID,SIGHTING_ID,DET_FACE_X,DET_FACE_Y,DET_FACE_WIDTH,DET_FACE_HEIGHT,QUALITY
8,img/5034.jpg,REF,29553,8974,1544,387,331,445,99.987376
8,img/3069.jpg,PROBE,29521,1702,686,278,210,249,99.956906
8,img/1017.jpg,REF,29563,11243,90,40,273,381,99.95445
8,img/1613.jpg,PROBE,29562,11151,1691,215,137,205,99.94919300000001
8,img/1406.jpg,PROBE,29559,10968,1187,702,181,245,99.948931
8,img/3916.jpg,PROBE,29546,4690,1138,702,219,255,99.914575
8,img/1476.jpg,PROBE,29547,4705,905,415,174,237,99.864006
8,img/3997.jpg,REF,29557,10149,2186,605,407,553,99.79924
8,img/2647.jpg,PROBE,29524,2078,1617,262,252,339,99.75995400000001
8,img/78001.jpg,PROBE,29568,37984,176,27,205,250,99.73084300000001
8,img/240.jpg,PROBE,29527,2326,961,823,351,461,99.71003499999999
8,img/1066.jpg,PROBE,29528,2328,1614,840,547,768,99.142152
