SUBJECT_ID,ORIGINAL_FILE,TRIPLET_SET,TEMPLATE_ID,SIGHTING_ID,DET_FACE_X,DET_FACE_Y,DET_FACE_WIDTH,DET_FACE_HEIGHT,QUALITY
407,img/3399.jpg,PROBE,40261,8004,985,650,306,405,99.91464599999999
407,img/1065.jpg,PROBE,40268,8343,2060,604,328,399,99.89898199999999
407,img/771.jpg,REF,40266,8333,2011,208,243,312,99.80342399999999
407,img/2951.jpg,PROBE,40251,3814,1425,409,472,626,99.78559
407,img/3752.jpg,PROBE,40276,8554,791,335,421,551,99.752659
407,img/2018.jpg,REF,40279,8577,1716,98,506,603,99.751079
407,img/878.jpg,PROBE,40245,3799,3689,528,410,497,99.704063
407,img/61138.jpg,PROBE,40285,34756,682,405,391,471,99.64819
407,img/3177.jpg,PROBE,40271,8503,1635,404,515,644,99.627095
407,img/4116.jpg,PROBE,40260,7986,1284,258,163,202,99.599397
407,img/1184.jpg,PROBE,40278,8562,1678,696,398,549,99.567938
407,img/4451.jpg,PROBE,40259,7982,1327,559,159,202,99.476457
407,img/3209.jpg,PROBE,40273,8534,1217,537,234,306,99.463832
407,img/3601.jpg,PROBE,40269,8348,2433,387,333,412,99.36507900000001
407,img/3171.jpg,PROBE,40281,8596,960,452,300,418,99.355531
407,img/2191.jpg,PROBE,40247,3805,955,318,356,447,99.35506
407,img/3893.jpg,PROBE,40255,3823,1966,441,357,477,99.037755
407,img/1856.jpg,PROBE,40258,6029,2095,478,419,519,98.80088
407,img/5066.jpg,PROBE,40254,3821,3432,585,260,335,98.576176
407,img/1337.jpg,PROBE,40252,3819,1714,435,390,523,98.513144
