SUBJECT_ID,ORIGINAL_FILE,TRIPLET_SET,TEMPLATE_ID,SIGHTING_ID,DET_FACE_X,DET_FACE_Y,DET_FACE_WIDTH,DET_FACE_HEIGHT,QUALITY
350,img/4992.jpg,REF,38194,4772,701,497,365,505,99.980581
350,img/177.jpg,PROBE,38190,4765,831,251,293,402,99.970341
350,img/317.jpg,PROBE,38223,9861,737,469,259,337,99.941576
350,img/1355.jpg,PROBE,38217,4834,1821,450,401,616,99.94120600000001
350,img/2713.jpg,PROBE,38210,4819,1592,170,292,337,99.916887
350,img/5171.jpg,PROBE,38214,4828,1522,428,260,318,99.905324
350,img/3986.jpg,PROBE,38196,4776,1009,294,288,366,99.90389300000001
350,img/612.jpg,PROBE,38206,4811,1327,378,211,272,99.894255
350,img/4944.jpg,PROBE,38197,4778,360,331,181,217,99.885631
350,img/193.jpg,PROBE,38198,4780,1149,205,281,365,99.839962
350,img/3238.jpg,PROBE,38184,4161,1276,346,231,294,99.83366099999999
350,img/2619.jpg,REF,38191,4767,646,126,452,562,99.810147
350,img/2345.jpg,PROBE,38205,4807,1925,300,302,391,99.629349
350,img/5020.jpg,PROBE,38193,4770,518,325,358,418,99.618149
350,img/1424.jpg,PROBE,38219,8390,1832,230,244,302,99.599755
