SUBJECT_ID,ORIGINAL_FILE,TRIPLET_SET,TEMPLATE_ID,SIGHTING_ID,DET_FACE_X,DET_FACE_Y,DET_FACE_WIDTH,DET_FACE_HEIGHT,QUALITY
27166,img/440930.jpg,PROBE,212893,118140,1208,680,383,434,99.985766
27166,img/448246.jpg,REF,212912,125593,134,49,216,276,99.937493
27166,img/447404.jpg,PROBE,212910,124728,329,39,195,269,99.91747099999999
27166,img/447592.jpg,PROBE,212911,124922,166,67,275,359,99.913061
27166,img/447015.jpg,REF,212908,124332,185,171,420,535,99.893427
27166,img/445888.jpg,PROBE,212904,123181,290,73,204,280,99.875015
27166,img/445831.jpg,PROBE,212903,123123,125,122,290,430,99.851978
27166,img/444048.jpg,PROBE,212900,121308,584,21,534,588,99.828458
27166,img/448793.jpg,PROBE,212915,126151,166,59,162,195,99.828053
27166,img/442271.jpg,PROBE,212897,119502,200,62,298,373,99.809849
27166,img/441398.jpg,PROBE,212894,118616,95,37,152,204,99.751711
27166,img/446676.jpg,PROBE,212907,123986,143,69,170,256,99.68441700000001
27166,img/444261.jpg,PROBE,212901,121524,253,61,316,372,99.68059699999999
27166,img/449758.jpg,PROBE,212917,127135,196,70,167,224,99.666655
27166,img/442046.jpg,PROBE,212896,119275,789,338,572,696,99.361354
27166,img/446379.jpg,PROBE,212905,123682,417,87,357,419,97.619039
27166,img/442775.jpg,PROBE,212898,120012,278,81,150,234,96.94915999999999
